
--------------------------------
Qflow project setup
--------------------------------

Technology set to osu018 from existing qflow_vars.sh file
Regenerating files for existing project data_selector
Running qrouter 1.3.80.T
*** Running stage1 routing with defaults
Nets remaining: 9600
Nets remaining: 9500
Nets remaining: 9400
Nets remaining: 9300
Nets remaining: 9200
Nets remaining: 9100
Nets remaining: 9000
Nets remaining: 8900
Nets remaining: 8800
Nets remaining: 8700
Nets remaining: 8600
Nets remaining: 8500
Nets remaining: 8400
Nets remaining: 8300
Nets remaining: 8200
Nets remaining: 8100
Nets remaining: 8000
Nets remaining: 7900
Nets remaining: 7800
Nets remaining: 7700
Nets remaining: 7600
Nets remaining: 7500
Nets remaining: 7400
Nets remaining: 7300
Nets remaining: 7200
Nets remaining: 7100
Nets remaining: 7000
Nets remaining: 6900
Nets remaining: 6800
Nets remaining: 6700
Nets remaining: 6600
Nets remaining: 6500
Nets remaining: 6400
Nets remaining: 6300
Nets remaining: 6200
Nets remaining: 6100
Nets remaining: 6000
Nets remaining: 5900
Nets remaining: 5800
Nets remaining: 5700
Nets remaining: 5600
Nets remaining: 5500
Nets remaining: 5400
Nets remaining: 5300
Nets remaining: 5200
Nets remaining: 5100
Nets remaining: 5000
Nets remaining: 4900
Nets remaining: 4800
Nets remaining: 4700
Nets remaining: 4600
Nets remaining: 4500
Nets remaining: 4400
Nets remaining: 4300
Nets remaining: 4200
Nets remaining: 4100
Nets remaining: 4000
Nets remaining: 3900
Nets remaining: 3800
Nets remaining: 3700
Nets remaining: 3600
Nets remaining: 3500
Nets remaining: 3400
Nets remaining: 3300
Nets remaining: 3200
Nets remaining: 3100
Nets remaining: 3000
Nets remaining: 2900
Nets remaining: 2800
Nets remaining: 2700
Nets remaining: 2600
Nets remaining: 2500
Nets remaining: 2400
Nets remaining: 2300
Nets remaining: 2200
Nets remaining: 2100
Nets remaining: 2000
Nets remaining: 1900
Nets remaining: 1800
Nets remaining: 1700
Nets remaining: 1600
Nets remaining: 1500
Nets remaining: 1400
Nets remaining: 1300
Nets remaining: 1200
Nets remaining: 1100
Nets remaining: 1000
Nets remaining: 900
Nets remaining: 800
Nets remaining: 700
Nets remaining: 600
Nets remaining: 500
Nets remaining: 400
Progress: Stage 1 total routes completed: 22319
*** Running stage2 routing with options mask 10, effort 10
Nets remaining: 300
Nets remaining: 200
Nets remaining: 100
Nets remaining: 90
Nets remaining: 80
Nets remaining: 80
Nets remaining: 70
Nets remaining: 70
Nets remaining: 60
Nets remaining: 60
Nets remaining: 50
Nets remaining: 50
Nets remaining: 40
Nets remaining: 30
Nets remaining: 30
Nets remaining: 30
Nets remaining: 30
Nets remaining: 20
Nets remaining: 20
Nets remaining: 10
Nets remaining: 9
Nets remaining: 9
Nets remaining: 8
Nets remaining: 8
Nets remaining: 7
Nets remaining: 10
Nets remaining: 9
Nets remaining: 9
Nets remaining: 8
Nets remaining: 9
Nets remaining: 8
Nets remaining: 7
Nets remaining: 7
Nets remaining: 7
Nets remaining: 7
Nets remaining: 6
Nets remaining: 6
Nets remaining: 6
Nets remaining: 7
Nets remaining: 7
Nets remaining: 7
Nets remaining: 6
Nets remaining: 5
Nets remaining: 6
Nets remaining: 5
Nets remaining: 6
